e, e_dot, e_int, stamp, 
-0.011993418455559013, 0.0030514556308277228, -0.0025055965283035443, 1731686813826469821, 
-0.00944975548785365, 0.01068160329661172, -0.0023834758420314935, 1731686813936047884, 
-0.007768900345915597, 0.01408172703214472, -0.001948200528703576, 1731686814026544678, 
-0.007690040628243189, 0.005865716198701539, -0.001577745993684526, 1731686814126071396, 
-0.007064300290746228, 0.0023486668505645625, -0.0015783120999780323, 1731686814236769141, 
-0.006060159787335984, 0.005432936136357351, -0.001459375795422055, 1731686814336411651, 
-0.005876453675845106, 0.0039594887163370745, -0.0012025547398564836, 1731686814426637074, 
-0.0050579348274646385, 0.0033407498662378168, -0.001076815196665728, 1731686814526498821, 
-0.005109744100477265, 0.00255569858455947, -0.0011218485734467074, 1731686814636405081, 
-0.005192106757883952, -0.00044723976806437804, -0.0010752255273623064, 1731686814736506737, 
-0.0049798468955399855, 0.0004329906831242643, -0.0009740829575469144, 1731686814827630488, 
-0.004358274761231851, 0.0027794399888403376, -0.000678138725919141, 1731686814876519414, 
-0.002011887837688242, 0.009893196859505812, -0.0007511278064301327, 1731686815026166306, 
-0.0013350463968637705, 0.010077427881226933, -0.000666923162617469, 1731686815136183946, 
-0.0016593069157333495, 0.0011752697398496419, -0.00026739817166052246, 1731686815186405194, 
-0.0031454368457946025, -0.00603463482976944, -0.00028706196143650037, 1731686815276447027, 
-0.004406370239734336, -0.009156877746669956, -0.0007362901551315657, 1731686815426210115, 
-0.005143108511118655, -0.006658905551080174, -0.0010972874754833063, 1731686815535752605, 
-0.005655264627587808, -0.004162981292844907, -0.001012704872651874, 1731686815626023722, 
-0.0069472119273186195, -0.006013678053999882, -0.00124635666564886, 1731686815746456844, 
-0.008020767005858076, -0.007885007927567559, -0.0014451765010398937, 1731686815836249116, 
-0.00847229193678567, -0.005083600031556834, -0.0014838775885750858, 1731686815936370723, 
-0.008552500577788003, -0.0017724452397664219, -0.001584213229751706, 1731686816026008889, 
-0.008934151417763658, -0.001539531603259962, -0.0012113749579417087, 1731686816076365820, 
-0.008833977626807155, -0.0009382568300638402, -0.0018451829456423603, 1731686816236321063, 
-0.008583554868525134, 0.0011686551641284144, -0.00228530835373224, 1731686816336536103, 
-0.007666152130812787, 0.00389275165331456, -0.0012234119850693095, 1731686816382640713, 
-0.006219985033122821, 0.00787856611800771, -0.0010478347584828524, 1731686816476435852, 
-0.005539573039218926, 0.007088596971979537, -0.0015494140261871517, 1731686816621923706, 
-0.005306674132856681, 0.0030443696675538, -0.001483560221429307, 1731686816737224561, 
-0.0052179935960374735, 0.0010719314772715076, -0.0010949667578211847, 1731686816826408955, 
-0.005372058794377299, -0.00021794887173539243, -0.0010031557366317477, 1731686816926538204, 
-0.00522578286194042, -2.5964219676488653e-05, -0.0010348376447150156, 1731686817022700386, 
-0.005341183646826231, 0.0001029171585035608, -0.0010055993544732706, 1731686817115809380, 
-0.005410875243605062, -0.0006169746055488071, -0.0010816438683223812, 1731686817225789868, 
-0.004869662047518375, 0.0015717386643595195, -0.0008363405737500815, 1731686817276420476, 
-0.004985593132506683, 0.0014176070369945986, -0.0010101360858552455, 1731686817424295198, 
-0.005745725979784844, -0.0029202131075548956, -0.0013385878918027252, 1731686817533825035, 
-0.0064024290265392025, -0.004722786313441733, -0.0011516390442546415, 1731686817625939176, 
-0.006530249370831243, -0.002615077970154663, -0.0012124329850575779, 1731686817728557887, 
-0.006746655075120955, -0.001147420161939176, -0.0010580815033986567, 1731686817787237551, 
-0.007078279715819313, -0.0018267678166269026, -0.001400424531855058, 1731686817934956098, 
-0.007309891094740895, -0.001877453398733131, -0.0016808907031051654, 1731686818025832945, 
-0.007404806321009261, -0.0010884220172998245, -0.0010350663113412586, 1731686818077442318, 
-0.006813426901818964, 0.0016548806430731016, -0.0014360201421101228, 1731686818225946079, 
-0.005890423652939791, 0.005047942226898232, -0.0017367429286797526, 1731686818336546087, 
-0.005077737203251331, 0.005785632328558776, -0.0011850764394770756, 1731686818425884879, 
-0.004568863502071974, 0.0044052005028927255, -0.0007305431168133516, 1731686818477604587, 
-0.003698575663964032, 0.004597205130957664, -0.0008959550747660992, 1731686818627295872, 
-0.003024006735558249, 0.005149522555045749, -0.0009733573541497569, 1731686818736213811, 
-0.0028825035210058303, 0.0027202404765273394, -0.0006380296017030277, 1731686818826574548, 
-0.002693399408451036, 0.00110202442369071, -0.00040819926160215523, 1731686818878610398, 
-0.002520636065903137, 0.0012062248503423116, -0.0005655369254289409, 1731686819036122205, 
-0.0024283198787768967, 0.000883598432247131, -0.0006087802579528279, 1731686819117586563, 
-0.001258191778002793, 0.00420814762633448, -0.0003938779540526431, 1731686819226488846, 
-1.716978221155685e-05, 0.008037166988551133, -0.0001961844391540947, 1731686819276496914, 
0.00043290743780444174, 0.005636997386024116, -5.6195611588680686e-05, 1731686819426602811, 
0.0006292200454920405, 0.002154632759011991, 9.052490961425435e-05, 1731686819536387557, 
0.0021001748349847027, 0.00555755799060087, 0.00021105509147821105, 1731686819626825690, 
0.0035224577468473406, 0.009644125671184334, 0.0002918939018259193, 1731686819676455111, 
0.004106564212273067, 0.006687964590961215, 0.0006451768808066254, 1731686819825766125, 
0.0052909040950122055, 0.00589482116054955, 0.0011168997477125494, 1731686819935798642, 
0.006375239084209561, 0.007562249573121645, 0.0010558802320049653, 1731686820026596624, 
0.006296266360660496, 0.0033512075521609694, 0.0012676345021797029, 1731686820147513195, 
0.00599595430307831, -0.001264282603770835, 0.0013056270060503796, 1731686820236420621, 
0.006145853472105056, -0.0005013762951848003, 0.001156836902700038, 1731686820335738423, 
